Perfil,Experiencia,Educacion,Cursos,Habilidades,Contacto,Referencias,Logros,Hobbies,Emprendimientos
Perfil,Experiencia Laboral,Formacion Academica,Cursos complementarios,Aptitudes,Datos personales,Referencias laborales,Logros,Hobbies,Emprendimientos
Resumen,Experiencia Profesional,Educacion,Cursos,Conocimientos,Contacto,Referencias,Logros y objetivos alcanzados,"Hobbies, actividades y deportes",
Biografía Profesional,Antecedentes Laborales,Formacion,Cursos y seminarios,Habilidades,Detalles personales,Referencias personales,Metas profesionales,Interes,
Sobre mi,Experiencia,Estudios,Talleres,Skills,Informacion de contacto,Mis referencias,meta profesional,Areas de interes,
Acerca de mi,Experiencias,Formacion educativa,Seminarios,Cualificaciones,Otros antecedentes,recomendaciones,reconocimientos,Miscelaneo,
Perfil Profesional,Experiencias de trabajo,Antecedentes academicos,Exposiciones,Habilidades personales,Antecedentes personales,,premios,Otras actividades,
Resumen Profesional,Historia Laboral,Estudios profesionales,Educacion complementaria,Tecnologias relevantes,Información adicional,,datos destacados,Actividades extracurriculares,
Extracto,Experiencia docente,Estudios y certificaciones,Docencia,Certificaciones,Informacion personal,,distinciones,Otras areas de interes,
Resumen del perfil profesional,Experiencia laboral y docente,Formacion profesional,Publicaciones,Habilidades y conocimientos,Datos de interes,,distinciones academicas,Actividades extraprogramaticas,
Presentacion,datos laborales,Educacion Superior,Seminarios y cursos,Habilidades y conocimientos adquiridos,datos de identificacion,, ,Otros,
resumen perfil,informacion profesional,Estudios realizados,,Destrezas,,,,Voluntariados,
Extracto,historial laboral,Estudios y cursos,,Competencias profesionales,,,,Otra experiencia relevante,
objetivos,Experiencia Laboral y Participación en Voluntariados,educación académica,,Competencias,,,,Antecedentes extracurriculares,
objetivo,Experiencia laborales,datos relativos a los estudios,,Aptitudes tecnicas,,,,Complementario,
meta,experiencias laborales,informacion academica,,Aptitudes y habilidades,,,,Intereses personales,
Resumen laboral,empleo,antecedentes educacionales,,Conocimientos de informatica o tecnicos,,,,Actividades programáticas y extraacadémicas,
,empleos,antecedentes de estudios,,Habilidades y competencias,,,,ayudantias,
,Antecedentes profesionales,,,Programas,,,,,
,trabajos,,,Especializacion,,,,,
,,,,Actividades y habilidades,,,,,
,,,,Otras herramientas,,,,,
,,,,Competencias tecnicas,,,,,
,,,,Idiomas e informatica,,,,,
,,,,Idiomas y conocimientos,,,,,
,,,,Conocimientos informaticos,,,,,
,,,,Idiomas,,,,,
,,,,Conocimientos de informatica,,,,,
,,,,Conocimiento de idiomas,,,,,
,,,,softwares,,,,,
,,,,otros conocimientos,,,,,
,,,,Competencias profesionales,,,,,
,,,,Habilidades técnicas,,,,,
,,,,conocimientos adquiridos,,,,,
,,,,habilidades computacionales,,,,,
,,,,sistemas de informacion,,,,,
